sep=,
Filename,FileVersion,Version
PdfSharp.Charting.resources.dll,1.50.4740.0,1.50.4740.0
PdfSharp.resources.dll,1.50.4740.0,1.50.4740.0
Antlr3.Runtime.dll,3.5.0.2,3.5.0.2
ChilkatDotNet47.dll,9.5.0.73,9.5.0.73
CommonServiceLocator.dll,2.0.3.0,2.0.3.0
CommonServiceLocator.SolrNet.dll,1.0.8.0,1.0.8.0
ComponentArt.Web.UI.dll,2010.1.2637.35,2010.1.2637.35
DnsClient.dll,1.0.7.0,1.0.7.0
DocumentFormat.OpenXml.dll,2.7.2.0,2.7.2.0
EcmaScript.NET.dll,1.0.1.0,1.0.1.0
FiftyOne.Foundation.dll,3.2.17.2,3.2.17.2
HtmlAgilityPack.dll,1.4.9.5,1.4.9.5
ICSharpCode.SharpZipLib.dll,0.86.0.518,0.86.0.518
IdentityModel.dll,3.7.0.0,3.7.0.0
ITHit.WebDAV.Server.dll,2.1.1.108,2.1.1.108
Lucene.Net.Contrib.Analyzers.dll,3.0.3.0,3.0.3.0
Lucene.Net.Contrib.Core.dll,3.0.3.0,3.0.3.0
Lucene.Net.Contrib.FastVectorHighlighter.dll,3.0.3.0,3.0.3.0
Lucene.Net.Contrib.Highlighter.dll,2.3.2.1,2.3.2.1
Lucene.Net.Contrib.Memory.dll,1.0.0.0,1.0.0.0
Lucene.Net.Contrib.Queries.dll,3.0.3.0,3.0.3.0
Lucene.Net.Contrib.Regex.dll,3.0.3.0,3.0.3.0
Lucene.Net.Contrib.SimpleFacetedSearch.dll,3.0.3.0,3.0.3.0
Lucene.Net.Contrib.Snowball.dll,2.0.0.1,2.0.0.1
Lucene.Net.Contrib.SpellChecker.dll,3.0.3.0,3.0.3.0
Lucene.Net.dll,3.0.3.0,3.0.3.0
MarkdownSharp.dll,1.14.5.0,1.14.5.0
Microsoft.AspNet.Identity.Core.dll,2.2.1.40403,2.0.0.0
Microsoft.AspNet.Identity.Owin.dll,2.2.1.40403,2.0.0.0
Microsoft.AspNet.OData.dll,7.0.0.20629,7.0.0.20629
Microsoft.AspNet.WebApi.Extensions.Compression.Server.dll,2.0.3.0,2.0.0.0
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Http.Features.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.WebUtilities.dll,2.1.1.18157,2.1.1.0
Microsoft.DotNet.PlatformAbstractions.dll,2.1.0.0,2.1.0.0
Microsoft.Extensions.Caching.Abstractions.dll,2.1.2.18207,2.1.2.0
Microsoft.Extensions.Caching.Memory.dll,2.1.2.18207,2.1.2.0
Microsoft.Extensions.CommandLineUtils.dll,1.1.1.30427,1.1.1.0
Microsoft.Extensions.Configuration.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Binder.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.CommandLine.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.FileExtensions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Ini.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Json.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Xml.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.DependencyInjection.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.DependencyInjection.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.DependencyModel.dll,2.1.0.0,2.1.0.0
Microsoft.Extensions.FileProviders.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.FileProviders.Physical.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.FileSystemGlobbing.dll,2.1.1.18157,2.1.1.0
