
Sitecore XConnect Server
Filename,FileVersion,Version
Microsoft.Azure.SqlDatabase.ElasticScale.Client.dll,1.3.3.1,1.3.0.0
Microsoft.Data.Tools.Schema.Sql.dll,14.0.3881.1,14.0.0.0
Microsoft.Data.Tools.Utilities.dll,14.0.3881.1,14.0.0.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.Data.dll,6.0.1304.1,6.0.0.0
Microsoft.Practices.EnterpriseLibrary.TransientFaultHandling.dll,6.0.1304.0,6.0.0.0
Microsoft.SqlServer.Dac.dll,14.0.3881.1,14.0.0.0
Microsoft.SqlServer.Dac.Extensions.dll,14.0.3881.1,14.0.0.0
Microsoft.SqlServer.TransactSql.ScriptDom.dll,14.0.3881.1,14.0.0.0
Microsoft.SqlServer.Types.dll,2017.140.500.272,14.0.0.0
Serilog.dll,2.6.0.0,2.0.0.0
Serilog.Sinks.File.dll,4.0.0.0,2.0.0.0
Sitecore.Framework.Conditions.dll,3.1.0.0,3.1.0.0
System.Data.Common.dll,4.6.26011.1,4.2.0.0
System.Diagnostics.StackTrace.dll,4.6.26011.1,4.1.0.0
System.Diagnostics.Tracing.dll,4.6.26011.1,4.2.0.0
System.Globalization.Extensions.dll,4.6.26011.1,4.1.0.0
System.IO.Compression.dll,4.6.26011.1,4.2.0.0
System.Net.Http.dll,4.6.26011.1,4.2.0.0
System.Net.Sockets.dll,4.6.26011.1,4.2.0.0
System.Runtime.Serialization.Primitives.dll,4.6.26011.1,4.2.0.0
System.Security.Cryptography.Algorithms.dll,4.6.26011.1,4.3.0.0
System.Security.SecureString.dll,4.6.26011.1,4.1.0.0
System.Threading.Overlapped.dll,4.6.26011.1,4.1.0.0
System.Xml.XPath.XDocument.dll,4.6.26011.1,4.1.0.0
Newtonsoft.Json.dll,11.0.2.21924,11.0.0.0
Sitecore.XConnect.Diagnostics.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,2.0.0.0,2.0.0.0
Newtonsoft.Json.dll,11.0.2.21924,11.0.0.0
Sitecore.XConnect.Diagnostics.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Diagnostics.PerformanceCounters.dll,2.0.0.0,2.0.0.0
Microsoft.ApplicationInsights.dll,2.5.1.172,2.5.1.0
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.Http.Features.dll,2.1.1.18157,2.1.1.0
Microsoft.AspNetCore.WebUtilities.dll,2.1.1.18157,2.1.1.0
Microsoft.DotNet.PlatformAbstractions.dll,2.1.0.0,2.1.0.0
Microsoft.Extensions.CommandLineUtils.dll,1.1.1.30427,1.1.1.0
Microsoft.Extensions.Configuration.Abstractions.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.Binder.dll,2.1.1.18157,2.1.1.0
Microsoft.Extensions.Configuration.CommandLine.dll,2.1.1.18157,2.1.1.0
