sep=,
Filename,Version,FileVersion,InfoVersion
PdfSharp.Charting.resources.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
PdfSharp.resources.dll,1.50.4740.0,1.50.4740.0,1.50.4740.0
Antlr3.Runtime.dll,3.4.1.9004,3.4.1.9004,3.4.1.9004
ChilkatDotNet47.dll,9.5.0.73,9.5.0.73,9.5.0.73
CommonServiceLocator.dll,2.0.3.0,2.0.3.0,2.0.3
CommonServiceLocator.SolrNet.dll,1.0.13.0,1.0.13.0,1.0.13
ComponentArt.Web.UI.dll,2010.1.2637.35,2010.1.2637.35,2010.1.2637.35
DnsClient.dll,1.0.7.0,1.0.7.0,1.0.7
DocumentFormat.OpenXml.dll,2.7.2.0,2.7.2.0,2.7.2
EcmaScript.NET.dll,1.0.1.0,1.0.1.0,1.0.1.0
FiftyOne.Foundation.dll,3.2.17.2,3.2.17.2,3.2.17.2
HtmlAgilityPack.dll,1.4.9.5,1.4.9.5,1.4.9.5
ICSharpCode.SharpZipLib.dll,0.86.0.518,0.86.0.518,0.86.0
IdentityModel.dll,3.7.0.0,3.7.0.0,3.7.0
Lucene.Net.dll,3.0.3.0,3.0.3.0,3.0.3
MarkdownSharp.dll,1.14.5.0,1.14.5.0,1.14.5.0
Microsoft.AspNet.Identity.Core.dll,2.0.0.0,2.2.1.40403,2.2.1.40403.0
Microsoft.AspNet.Identity.Owin.dll,2.0.0.0,2.2.1.40403,2.2.1.40403.0
Microsoft.AspNet.OData.dll,7.0.0.20629,7.0.0.20629,7.0.0.20629
Microsoft.AspNet.WebApi.Extensions.Compression.Server.dll,2.0.0.0,2.0.3.0,2.0.3
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Features.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Azure.Amqp.dll,2.3.0.0,2.2.0.0,2.3.0
Microsoft.Azure.ServiceBus.dll,3.1.0.0,3.1.0.0,3.1.0
Microsoft.Azure.Services.AppAuthentication.dll,1.0.1.0,1.0.1.0,1.0.1.0
Microsoft.Configuration.ConfigurationBuilders.Base.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Configuration.ConfigurationBuilders.Environment.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.DotNet.PlatformAbstractions.dll,2.1.0.0,2.1.0.0,2.1.0 @BuiltBy: dlab-DDVSOWINAGE024 @Branch: release/2.1 @SrcCode: https://github.com/dotnet/core-setup/tree/caa7b7e2bad98e56a687fb5cbaf60825500800f7
Microsoft.Extensions.Caching.Abstractions.dll,2.1.2.0,2.1.2.18207,2.1.2-rtm-30932
Microsoft.Extensions.Caching.Memory.dll,2.1.2.0,2.1.2.18207,2.1.2-rtm-30932
Microsoft.Extensions.CommandLineUtils.dll,1.1.1.0,1.1.1.30427,1.1.1
Microsoft.Extensions.Configuration.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.Binder.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.CommandLine.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.FileExtensions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.Ini.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.Json.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
