sep=,
Filename,Version,FileVersion,InfoVersion
Dapper.dll,1.50.4.0,1.50.4.0,1.50.4
DnsClient.dll,1.0.7.0,1.0.7.0,1.0.7
Google.Protobuf.dll,3.6.1.0,3.6.1.0,3.6.1
Microsoft.AI.Agent.Intercept.dll,2.4.0.0,2.4.0.105563,2.4.0.105563
Microsoft.AI.DependencyCollector.dll,2.5.1.0,2.5.1.195,2.5.1.195
Microsoft.ApplicationInsights.dll,2.5.1.0,2.5.1.172,2.5.1.172
Microsoft.AspNet.OData.dll,7.0.0.20629,7.0.0.20629,7.0.0.20629
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Features.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Azure.Amqp.dll,2.3.0.0,2.2.0.0,2.3.7
Microsoft.Azure.KeyVault.dll,2.0.0.0,2.3.2.0,2.3.2
Microsoft.Azure.KeyVault.WebKey.dll,2.0.0.0,2.0.7.0,2.0.7
Microsoft.Azure.ServiceBus.dll,3.2.1.0,3.2.1.0,3.2.1+d70d83ec165142761433e023ab8fa9e06b8fa143
Microsoft.Azure.Services.AppAuthentication.dll,1.0.1.0,1.0.1.0,1.0.1.0
Microsoft.Azure.SqlDatabase.ElasticScale.Client.dll,2.1.0.0,2.1.0.0,2.1.0
Microsoft.Build.dll,15.1.0.0,15.3.409.57025,15.3.409+gc1de301405
Microsoft.Build.Framework.dll,15.1.0.0,15.3.409.57025,15.3.409+gc1de301405
Microsoft.Configuration.ConfigurationBuilders.Base.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Configuration.ConfigurationBuilders.Environment.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Data.Tools.Schema.Sql.dll,15.0.0.0,15.0.4538.1,15.0.4538.1
Microsoft.Data.Tools.Utilities.dll,15.0.0.0,15.0.4538.1,15.0.4538.1
Microsoft.DotNet.PlatformAbstractions.dll,2.1.0.0,2.1.0,2.1.0 @BuiltBy: dlab-DDVSOWINAGE024 @Branch: release/2.1 @SrcCode: https://github.com/dotnet/core-setup/tree/caa7b7e2bad98e56a687fb5cbaf60825500800f7
Microsoft.Extensions.CommandLineUtils.dll,1.1.1.0,1.1.1.30427,1.1.1
Microsoft.Extensions.Configuration.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.Binder.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.CommandLine.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.FileExtensions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.Ini.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.Json.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Configuration.Xml.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.DependencyInjection.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.DependencyInjection.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.DependencyModel.dll,2.1.0.0,2.1.0,2.1.0 @BuiltBy: dlab-DDVSOWINAGE024 @Branch: release/2.1 @SrcCode: https://github.com/dotnet/core-setup/tree/caa7b7e2bad98e56a687fb5cbaf60825500800f7
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions.dll,2.2.0.0,2.2.0.18316,2.2.0-rtm-35687
Microsoft.Extensions.FileProviders.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.FileProviders.Physical.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.FileSystemGlobbing.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Logging.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Logging.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Options.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Primitives.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.IdentityModel.Clients.ActiveDirectory.dll,3.19.3.10102,3.19.50411.1851,c85b06e61e0bc97627b0aea38d79f59be41b69c6
Microsoft.IdentityModel.Clients.ActiveDirectory.Platform.dll,3.19.3.10102,3.19.50411.1851,c85b06e61e0bc97627b0aea38d79f59be41b69c6
